ID,Weight in Thousands,gender,hhsize,age,educat,Month,Region
10329,1.430272126,Female,3,54,3,1,4
10331,1.848714227,Male,2,39,3,1,5
10332,1.686998963,Female,2,20,3,1,7
10333,1.511025176,Female,2,57,3,1,3
10336,1.007113136,Female,5,40,5,1,7
10337,1.043924077,Male,5,48,4,1,13
10338,1.574572257,Female,2,65,2,1,3
10340,1.845287041,Female,5,28,5,1,9
10341,1.711854937,Female,6,27,4,1,3
10342,1.134272539,Male,6,53,7,1,5
10343,2.008737479,Male,3,29,7,1,3
10344,1.910938114,Male,1,36,2,1,3
10345,1.470291831,Female,2,61,4,1,7
10346,1.596484517,Male,4,38,3,1,2
10347,2.250506674,Female,2,76,2,1,7
10348,1.302301156,Female,10,18,5,1,1
10350,1.92763493,Female,3,35,6,1,1
10351,1.499119822,Female,2,60,3,1,9
10352,1.869355838,Female,2,63,7,1,14
10354,1.651361959,Male,4,55,7,1,9
10355,1.661193079,Male,1,60,9,1,2
10357,1.320183046,Male,5,34,6,1,6
10358,1.507532847,Female,1,68,4,1,3
10359,1.211618772,Female,4,52,2,1,3
10360,1.661088216,Female,2,70,5,1,2
10361,1.219691472,Male,5,63,2,1,3
10362,1.684955763,Male,3,60,3,1,1
10363,2.627492429,Male,2,28,6,1,9
10364,1.652447353,Female,4,39,5,1,1
10365,1.029871581,Female,4,68,3,1,1
10366,1.318691912,Male,1,73,2,1,5
10367,1.990611158,Male,4,34,7,1,1
10368,1.204854534,Male,5,43,3,1,2
10369,2.4324269,Female,2,25,7,1,3
10370,1.492848434,Female,2,36,6,1,2
10371,1.637473023,Female,3,46,4,1,7
10372,1.284703599,Female,6,33,4,1,2
10373,1.529272231,Male,4,41,4,1,3
10375,1.482641269,Male,2,65,3,1,6
10376,1.608789056,Female,4,19,3,1,5
10377,2.303613123,Female,1,79,6,1,3
10378,1.354885765,Male,3,69,4,1,5
10379,1.301058862,Male,5,39,4,1,5
10380,1.301058862,Male,6,37,6,1,5
10381,1.287254062,Female,4,59,6,1,5
10382,1.561260239,Male,2,77,2,1,9
10383,0.936445483,Female,5,44,4,1,2
10384,1.684955763,Male,3,60,4,1,1
10385,1.292370957,Female,4,52,3,1,2
10386,1.690615595,Female,4,48,6,1,3
10387,1.264161957,Female,4,57,3,1,9
10388,1.492848434,Female,2,38,5,1,2
10389,1.461467613,Male,4,57,5,1,3
10390,2.430045089,Female,3,34,3,1,5
10391,2.4703063,Female,2,25,7,1,5
10392,1.669050599,Female,4,47,2,1,9
10394,1.017399838,Female,6,50,5,1,1
10395,2.357137132,Female,3,29,5,1,1
10397,1.318691912,Male,1,67,2,1,5
10398,2.538256211,Female,2,77,6,1,2
10399,1.803767991,Female,6,14,2,1,6
10400,1.650148998,Female,1,44,2,1,3
10401,1.743553256,Male,2,63,4,1,4
10402,1.507532847,Female,1,67,2,1,3
10403,1.332372016,Male,7,37,2,1,2
10405,2.028996798,Female,2,80,2,1,5
10406,1.671459889,Female,3,17,3,1,6
10407,1.032178042,Female,9,46,2,1,4
10408,1.994117823,Male,3,48,7,1,3
10409,1.829233375,Female,3,30,6,1,6
10410,1.611722451,Male,2,54,6,1,5
10411,1.83578996,Female,3,81,2,1,1
10413,1.73309682,Male,2,60,7,1,3
10414,1.354885765,Male,3,72,7,1,5
10415,1.948853038,Female,2,24,6,1,6
10416,1.445654465,Female,2,51,7,1,1
10417,2.1382123,Female,4,15,2,1,1
10418,2.328863242,Female,1,28,7,1,3
10419,2.418984801,Male,3,27,3,1,13
10420,1.891415771,Male,2,25,3,1,5
10421,1.936937304,Male,2,32,2,1,2
10422,1.535762191,Male,3,19,2,1,3
10424,1.418866195,Male,1,68,3,1,1
10425,1.274201378,Female,4,63,6,1,3
10426,2.237100021,Male,2,47,7,1,5
10427,1.081311885,Male,6,17,2,1,3
10430,1.007626421,Female,4,17,4,1,14
10431,1.172434443,Male,2,68,6,1,9
10432,1.963387221,Male,3,35,7,1,3
10433,2.008737479,Male,3,34,6,1,3
10434,2.41195862,Male,3,27,6,1,7
10435,1.69611646,Male,2,68,3,1,10
10436,1.532571762,Female,2,54,5,1,2
10437,2.850213455,Male,1,78,2,1,4
10438,1.661088216,Female,2,74,2,1,2
10439,1.743553256,Male,2,56,2,1,4
10440,1.078569118,Female,5,50,6,1,2
10441,2.850213455,Male,1,85,4,1,4
10442,1.786749433,Female,1,80,3,1,1
10443,2.538256211,Female,2,75,5,1,2
10444,2.235560699,Male,2,68,4,1,4
10445,1.735065701,Male,2,55,2,1,2
10446,1.973440263,Male,2,78,6,1,1
10447,1.661088216,Female,2,65,4,1,2
10448,2.085032552,Male,2,67,4,1,2
10449,1.50414863,Female,3,60,4,1,4
10450,1.520325498,Female,2,62,6,1,1
10451,2.776512103,Male,2,80,6,1,2
10452,2.576414642,Female,1,76,5,1,4
10453,2.430186735,Female,1,76,3,1,2
10454,1.889418542,Male,1,76,4,1,1
10455,1.611732252,Female,2,59,2,1,2
10456,2.085032552,Male,2,70,7,1,2
10457,2.538256211,Female,2,79,2,1,2
10458,1.66129679,Male,7,26,6,1,1
10459,1.239355709,Female,6,74,4,1,4
10461,1.017399838,Female,5,50,2,1,1
10462,1.501624781,Female,3,59,2,1,5
10463,1.221284103,Female,2,71,4,1,1
10464,1.495547135,Female,3,61,4,1,1
10465,1.495547135,Female,3,57,5,1,1
10466,1.866205497,Female,2,85,3,1,1
10467,1.866205497,Female,2,83,7,1,1
10468,1.942609687,Female,1,79,3,1,5
10470,0.9832752,Male,5,17,2,1,1
10471,1.710991026,Female,4,90,4,1,5
10472,1.639944558,Male,1,63,6,1,1
10473,1.169286384,Female,1,74,2,1,1
10474,1.327818152,Female,2,73,2,1,5
10475,1.520325498,Female,2,62,7,1,1
10476,1.889418542,Male,1,82,2,1,1
10477,1.327818152,Female,2,67,2,1,5
10478,1.481962633,Male,2,70,6,1,1
10479,1.889418542,Male,1,80,6,1,1
10480,2.1546885,Female,1,85,2,1,7
